wallet_address,score,cluster_label,anomaly_score,num_deposits,num_borrows,num_redeems,num_repays,num_liquidations,total_transactions,total_deposit_usd,total_borrow_usd,total_redeem_usd,redeem_to_deposit_ratio,avg_transaction_usd,max_transaction_usd,unique_assets_interacted,num_tx_types,wallet_lifetime_days,txs_per_day,num_days_active,tx_volatility,borrow_then_redeem_same_day,redeem_after_liquidation
0x00000000001accfa9cef68cf5371a23025b6d4b6,230,0,0.0,1,0,0,0,0,1,1987663654.8592715,0.0,0.0,0.0,1987663654.8592715,1987663654.8592715,1,1,1,1.0,1,0.0,0,0
0x000000000051d07a4fb3bd10121a343d85818da6,228,0,0.008884385103482915,1,0,0,0,0,1,2.8569448036149268e+20,0.0,0.0,0.0,2.8569448036149268e+20,2.8569448036149268e+20,1,1,1,1.0,1,0.0,0,0
0x000000000096026fb41fc39f9875d164bd82e2dc,240,0,0.016557234428532238,2,0,0,0,0,2,5152310624158186.0,0.0,0.0,0.0,2576155312079093.0,4229933370154108.0,1,1,7,0.2857142857142857,2,0.0,0,0
0x0000000000e189dd664b9ab08a33c4839953852c,466,0,0.3478880988388994,0,0,17,0,0,17,0.0,0.0,9.803600316664595e+20,0.0,5.766823715685056e+19,4.808679916723243e+20,4,1,129,0.13178294573643412,8,1.246423454758225,0,0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,414,0,0.6934480928577567,250,15,130,4,0,399,2.0657733084285222e+23,6.029762086214079e+22,1.1287452027976198e+23,0.5464032273978214,9.517530626186094e+20,2.6741712130000044e+22,6,4,132,3.022727272727273,104,3.5747512016707064,1,0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,281,0,0.2041090073371627,7,8,5,5,0,25,1.8390665686010514e+22,11631431210.321323,4.6174154278630436e+21,0.2510738603320617,9.203232445558733e+20,8.536551458246738e+21,5,4,39,0.6410256410256411,15,0.6172133998483676,0,0
0x000000003853fcedcd0355fec98ca3192833f00b,210,0,0.18143933882894667,8,0,0,0,0,8,7.637631560497202e+16,0.0,0.0,0.0,9547039450621502.0,2.289872736489717e+16,7,1,7,1.1428571428571428,4,1.1547005383792515,0,0
0x000000003ce0cf2c037493b1dc087204bd7f713e,740,1,0.7582885909600788,309,30,137,16,0,492,4.585861982762907e+23,1.3241576090263831e+23,2.9953890762767578e+23,0.6531790724482477,1.8107330887798085e+21,3.0678481000785924e+22,7,4,123,4.0,108,6.054786217288902,1,0
0x000000007858e6f2668e1e06111cfa24403a5466,230,0,0.0,1,0,0,0,0,1,1.4216066648145406e+17,0.0,0.0,0.0,1.4216066648145406e+17,1.4216066648145406e+17,1,1,1,1.0,1,0.0,0,0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,230,0,0.0,1,0,0,0,0,1,1766652.5037857387,0.0,0.0,0.0,1766652.5037857387,1766652.5037857387,1,1,1,1.0,1,0.0,0,0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,189,0,0.611135198995118,26,24,10,9,0,69,7.999916941682947e+23,5.9750196177961543e+23,8.010729370227363e+23,1.0013515676004183,4.052369960578395e+22,1.8472479350618333e+23,1,4,30,2.3,3,6.928203230275509,0,0
0x00000029ff545c86524ade7caf132527707948c4,483,1,0.8308057867487664,12,12,11,12,0,47,3.2546605034654667e+24,1.759512594809414e+24,3.233387269617574e+24,0.9934637625567271,2.125777511080517e+23,1.495147908656053e+24,4,4,2,23.5,2,17.67766952966369,1,0
0x00000087c4cebffb95746d1935de7fbcab092f40,331,0,0.6021632550628859,86,62,57,45,0,250,2.2169199416626406e+22,2.3164201034194218e+22,3.8536807806854195e+18,0.0001738303990262835,1.8614562181685415e+20,1.108220849176657e+22,8,4,100,2.5,19,19.70409759385859,1,0
0x000000e28faa823d5b53ff6c2922c28335840375,781,1,0.833245897118894,107,66,61,63,0,297,3.134059613762208e+24,2.559678839221803e+24,2.595897731743287e+24,0.8282860097313539,3.414808162135307e+22,2.548403504105862e+23,7,4,137,2.167883211678832,61,5.120141306110167,1,0
0x000006eee6e39015cb523aebdd4d0b1855aba682,254,0,0.3699041366469362,11,4,9,1,3,28,4.284915292921578e+22,2.300705925998673e+22,5.0131143487608135e+22,1.1699447961181817,4.969236802058077e+21,2.4550022575155208e+22,7,5,41,0.6829268292682927,12,2.774341308665841,1,0
0x00000a9c78912badb92d73b6ed26456e11def5eb,230,0,0.0,1,0,0,0,0,1,1692754.3127773313,0.0,0.0,0.0,1692754.3127773313,1692754.3127773313,1,1,1,1.0,1,0.0,0,0
0x00001bc47f0973f794f79c16121cee879e272d6a,318,0,0.10339004708851873,0,0,4,0,0,4,0.0,0.0,53501440123.14357,0.0,13375360030.785892,13526373070.995455,2,1,47,0.0851063829787234,4,0.0,0,0
0x00002b503a75998c97508916a74fdb41934fa030,768,1,0.7050974869361668,27,47,28,45,0,147,2.2937294172388544e+24,6.17898181994775e+23,1.5775225802578294e+24,0.6877544353757382,3.3444203844473765e+22,5.29344127071701e+23,7,4,125,1.176,35,4.26890260040736,1,0
0x0000897253cc85f7547317eb2080b36b3255687a,227,0,0.037577828568642585,1,0,1,0,0,2,4.6618576206638966e+20,0.0,4.6553240002876506e+20,0.9985984942252879,4.658590810475773e+20,4.6618576206638966e+20,1,2,3,0.6666666666666666,2,0.0,0,0
0x0000b252c943089fbba5554a1d196ef79bc77e4f,230,0,0.0,1,0,0,0,0,1,1116218.296466259,0.0,0.0,0.0,1116218.296466259,1116218.296466259,1,1,1,1.0,1,0.0,0,0
0x0000ce08fa224696a819877070bf378e8b131acf,364,0,0.20901702458770358,3,1,10,0,0,14,1.967476047132329e+18,1.257932658028036e+21,1.492514578981658e+21,758.5935194266048,1.9660105093263045e+20,1.257932658028036e+21,4,3,75,0.18666666666666668,8,1.0350983390135313,1,0
0x00010a708585ba4812a1c5976182626c75cb7a6b,373,0,0.20747584224983653,9,6,7,7,0,29,1.1435291181817161e+21,3.0268740162206374e+20,2.159702780640753e+19,0.018886294597157415,6.104055937827992e+19,5.557228965749953e+20,6,4,79,0.3670886075949367,11,1.5015143870590968,0,0
0x00016fc0c9f7620e920e1423fd455f9574f48025,228,0,0.016389693535063574,2,0,0,0,0,2,3.1457592760046474e+18,0.0,0.0,0.0,1.5728796380023237e+18,1.5794844914008806e+18,1,1,1,2.0,2,0.0,0,0
0x0002761e848b24046a53d494847b11a3e1d36b09,230,0,0.0,1,0,0,0,0,1,1.0022621744374797e+18,0.0,0.0,0.0,1.0022621744374797e+18,1.0022621744374797e+18,1,1,1,1.0,1,0.0,0,0
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,240,0,0.016557234428532238,2,0,0,0,0,2,1011250.6095471126,0.0,0.0,0.0,505625.3047735563,1011151.8932688306,1,1,7,0.2857142857142857,2,0.0,0,0
0x0003816b25fd3d6c112eb65c089760fa3f791947,202,0,0.18118686699036415,1,1,1,1,0,4,7.122699059900504e+21,2.946593000000001e+21,7.118472277000015e+21,0.999406575672376,5.033678709225132e+21,7.122699059900504e+21,2,4,1,4.0,1,0.0,1,0
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,414,0,0.2594846009109829,12,5,20,0,0,37,3.3171007704367743e+19,917402818.3810866,5.187095166549086e+20,15.637436199642748,1.4915689847572806e+19,2.9465863852764086e+20,6,3,100,0.37,20,0.9880869341680844,1,0
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,229,0,0.015485685015710971,1,0,1,0,0,2,1049493536.649711,0.0,1049493771.5306416,1.0000002238040753,1049493654.0901763,1049493771.5306416,1,2,1,2.0,1,0.0,0,0
0x0003f46779806fe779e7f30eec95dbdb4d45840b,387,0,0.1640757178325464,8,6,5,5,0,24,2186046136.065428,2095927039.250547,1399922022.7566319,0.6403899714926843,298173434.0907815,749580285.7063982,2,4,82,0.2926829268292683,6,2.1908902300206643,1,0
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,387,0,0.166242235946454,2,3,4,1,0,10,994062140.2142456,505675140.21996343,1335642853.2248507,1.3436210868437115,337886553.919038,982136001.4307568,2,4,82,0.12195121951219512,6,1.2110601416389966,1,0
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,222,0,0.049962940133345304,1,1,0,0,0,2,2.741759361949003e+21,518312732.4254524,0.0,0.0,1.3708796809747607e+21,2.741759361949003e+21,2,2,1,2.0,1,0.0,0,0
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,211,0,0.14791366661157077,2,1,2,1,0,6,3.5395717480350118e+19,2.2653259187424076e+19,3.5395703322063127e+19,0.9999996,1.9349656529543565e+19,2.2653259187424076e+19,1,4,1,6.0,1,0.0,1,0
0x0005696d4be2359526c497fe4a4c0620b41f2426,206,0,0.1693164579163152,1,1,4,1,0,7,7.356873206985615e+20,593761137.6147482,8.498608343363275e+20,1.155192988142509,2.2650687929086797e+20,7.470032840895532e+20,4,4,1,7.0,2,2.1213203435596424,0,0
0x000660cad76200a2e326f53e033919905e6c50f5,230,0,0.0,1,0,0,0,0,1,1064852.57555633,0.0,0.0,0.0,1064852.57555633,1064852.57555633,1,1,1,1.0,1,0.0,0,0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,230,0,0.0,1,0,0,0,0,1,1.1536765310394422e+18,0.0,0.0,0.0,1.1536765310394422e+18,1.1536765310394422e+18,1,1,1,1.0,1,0.0,0,0
0x00080000158a9930aeb508823103b0a977161c47,244,0,0.01647498468374055,2,0,0,0,0,2,2.617513598912143e+18,0.0,0.0,0.0,1.3087567994560714e+18,1.5848677270563487e+18,1,1,9,0.2222222222222222,2,0.0,0,0
0x00099b1263c22ae2ce0a52624cef2a012e751970,240,0,0.016557234428532238,2,0,0,0,0,2,1.0581473433072288e+18,0.0,0.0,0.0,5.290736716536144e+17,1.0580976520839908e+18,1,1,7,0.2857142857142857,2,0.0,0,0
0x0009ce45d5df78e632a0b4987079432dfba2253a,230,0,0.0,1,0,0,0,0,1,3.2446847156000052e+16,0.0,0.0,0.0,3.2446847156000052e+16,3.2446847156000052e+16,1,1,1,1.0,1,0.0,0,0
0x000a27ba176083e4b50177378cbe7469a00dd557,282,0,0.10853131815607887,4,2,4,2,0,12,277884997.2393591,160386310.03803742,276874386.0723702,0.9963632035661198,72947625.91037236,160225777.54977876,2,4,33,0.36363636363636365,4,2.160246899469287,0,0
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,240,0,0.22173466014258192,18,8,12,5,0,43,1.932663909054446e+22,7.3564641652974084e+19,3.2743904255659926e+22,1.6942368563026486,1.212653674136529e+21,5.838238143657059e+21,5,4,25,1.72,10,6.147266781984403,1,0
0x000ab43e658935ba39504a1424b01756c1e9644c,228,0,0.020600102096621276,1,1,0,0,0,2,1.1365237938343968e+17,1.1365237938343968e+16,0.0,0.0,6.250880866089182e+16,1.1365237938343968e+17,1,2,1,2.0,1,0.0,0,0
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,427,0,0.48730299051924764,49,0,28,0,0,77,2.735115444784605e+20,0.0,3.4796847426715864e+20,1.2722259125503266,8.071169074618434e+18,9.843356285546257e+19,8,2,123,0.6260162601626016,35,1.323986849055,0,0
0x000c8e2871750f458bf1de8ab528dda09bc95db6,206,0,0.161391382031446,1,1,1,1,0,4,5.480588573862458e+21,2.366767191230522e+21,5.480588573862458e+21,1.0,3.9236778825464897e+21,5.480588573862458e+21,2,4,1,4.0,1,0.0,1,0
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,335,0,0.2546832909132087,20,20,14,17,0,71,1.8761063040332172e+20,963876514.6793131,1.74357430362055e+20,0.9293579472934169,5.098141700947515e+18,6.4946558081526915e+19,4,4,66,1.0757575757575757,32,1.4752665150143482,1,0
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,279,0,0.08425358814139913,4,1,0,1,0,6,2.821056376025053e+20,40102676.334020846,0.0,0.0,4.701760626709762e+19,7.667329281517614e+19,2,3,30,0.2,3,1.7320508075688772,0,0
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,230,0,0.0,1,0,0,0,0,1,1218108806215370.8,0.0,0.0,0.0,1218108806215370.8,1218108806215370.8,1,1,1,1.0,1,0.0,0,0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,230,0,0.0,1,0,0,0,0,1,1.3920558505203293e+17,0.0,0.0,0.0,1.3920558505203293e+17,1.3920558505203293e+17,1,1,1,1.0,1,0.0,0,0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,385,0,0.15430861558919926,1,3,2,2,0,8,7.604061861653314e+20,886724479.0708098,502231316.99702215,6.604776843409641e-13,9.505077327090301e+19,7.604061861653314e+20,3,4,80,0.1,4,1.1547005383792515,1,0
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,257,0,0.09025213228672466,6,0,2,0,0,8,7.053997334319023e+21,0.0,3.3554134762621045e+21,0.47567546700611685,1.3011763513226407e+21,3.8413625938907376e+21,2,2,20,0.4,7,0.37796447300922725,0,0
